검사분류코드,검사분류명,검사항목코드,검사항목명,참고치,단위,기본검체,검체용기 이미지,검체용기,주의사항,시행일,접수마감시간,보고소요시간,검사방법,검사의의,비고,동의어,오더가능여부,시행여부
L30,일반화학(1),L3071,"1,5 AG (Anhydro-D-Glucitol)",,ug/mL,SST blood,이미지,SST blood 5mL,,,,,효소법,".고감도 혈당지표로서 수일 내지 수주전의 혈당조절상태를 반영함. .당뇨가 진행되면 1,5 AG의 신장배설이 증가하여 그 혈중농도는 감소함. .일중 변동이나 체중, 성별 나이, 일시적인 식이변화 등의 연향을 받지 않음.",2009. 3.16부터 외래진료전 당일검사 시행함. 토요일도 시행함,중단 : 2016.09.11,"전환 : 2016.09.12 ( L74363 으로 오더발행요망, 서울의과학연구소로 위탁전환)","1,5 AG, 15AG"
L71,외주검사,L7104,11-Deoxycortisol (11-DOC)(외주),M: 18~29Y: ≤ 119 30~39Y: ≤ 135 40~49Y: ≤ 76 50~59Y: ≤ 42 F: Mid follicular: ≤ 46 Surge: ≤ 69 Mid luteal: ≤ 40 ※ 소아참고치 문의 요망,ng/dL,Plain Tube 4 ml,이미지,29.plain 4.0,"냉동 SST 사용금지 생년월일, 성별 필수기재","월,목",검사 시행일 전날 오후 3시,23일,Chromatography-mass spectrometry,"11-beta-hydroxylase 결손증에 의한 부신피질 증식증, 쿠싱증후곤, 이소성 ACTH 생산종양, 다모증, ACTH 투 여 시에 상승하며, 범뇌하수체부전, ACTH 단독 결손증에서 감소한다.","녹십자의뢰 외주검사 (☏.578-0131) [2003.4.28일 접수분부터] < 9.0 ng/mL post metyrapone: 80-250 ng/mL <이전 참고치> 남:0.04-1.16, 여:0.11-0.6 ng/mL [2007.12.20 접수분] 참고치, 단위 재설정 사유: 검사방법 변경(RIA -> LC/MS/MS) 단위: ng/mL -> ng/dL 참고치: 변경전> Baseline : < 9 post metyrapone: 80-250 변경후> Adult: < 303 1-12 months: 10-200 1-4 years: 7-210 5-9 years: ≤ 122 10-13 years: ≤ 245 14-17 years: ≤ 302 [2008.7.22일 접수분부터] 참고치 재설정-Adult 참고치 재설정",11-DOC,예,시행중
L71,외주검사,L7103,11-DOCS,M: ≤700 F: 폐경전 Mid follicular: 38~378 Surge: 33~583 Mid luteal: 70~470 *소아 < 30 days: ≤ 3013 1~11 months: ≤ 869 1 year: ≤ 557 2 years: ≤ 487 3 years: ≤ 541 4 years: ≤ 561 5 years: ≤ 564 6 years: ≤ 561 7 years: ≤ 549 8 years: ≤ 569 9 years: ≤ 590 10 years: ≤ 594 11 years: ≤ 629 12 years: ≤ 666 13 years: ≤ 678 14 years: ≤ 706 15 years: ≤ 735 16 years: ≤ 739 17 years: ≤ 756,ng/dL,Serum 4 ml,이미지,29.plain 4.0,"1. 겔튜브 채취 검체 부적합 2. 용혈, 지방, 황달 검체 부적합","월,목",검사 시일행 전날 오후 3시,23일,Chromatography/mass spectrometry,"17- 및 11-hydroxylase 결핍에 의한 부신성기증후군에서 증가하고, 전자간증에서 감소하는 것으로 알려져 있다",녹십자의뢰 외주검사 (☏.578-0131),11-DOCS,예,시행중
L71,외주검사,L7105,11-OHCS(외주),5.0 - 21.4,ug/dl,Serum: 2.0,이미지,SST,냉동,"월,목",오후 3:30,3주,FA,"쿠싱 증후군, 갑상선 기능항진증, 스트레스, 비만 등에서 증가하며, Addison 병, 뇌하수체기능저하증, 간경변, 갑상선기능저하증 등에서 감소한다","[참고치변경]: 2004.1.20 접수분부터 10-20 ug/dL ---> 5.0-21.4 ug/dL : 검사시약(Bayer) Version 1.0 생산중단, Version 3.0 upgrade",,예,시행중
L26,FISH검사,L2657,"13q14 deletion, FISH",monosomy <6,,"Heparin BM 5-8 mL, 말초혈액, Tissue도 가능",이미지,,"채혈후 1-2시간 이내 검사실의뢰, 냉장보관","월~금,토","오후5시,오전 10시",7일,간기핵 FISH,"염색체 13q14 에 위치하며 이 위치에서의 gene deletion 은 다양한 leukemia, lymphoma 에서 밝혀지고 있다.",,13q14 FISH,예,시행중
L26,FISH검사,L2819,"13q14.3( D13S319) deletion, FISH","deletion <1, monosomy <0.5",%,"Heparin BM 5-8 mL, 말초혈액, Tissue도 가능",이미지,,"채혈후 1-2시간 이내 검사실의뢰, 냉장보관","월~금,토","오후5시,오전 10시",7일,간기핵 FISH,"13q14.3에 위치한 D13S319의 결손을 검색하기 위한 검사로, lymphoid malignancies, 특히 CLL, MM, mantle cell lymphoma에서 흔히 결실이 관찰된다.",,13q14 FISH,예,시행중
L26,FISH검사,L2638,"13q14.3(D13S25) deletion, FISH",monosomy <6,%,"Heparin BM 5-8 mL, 말초혈액, Tissue도 가능",이미지,,"채혈후 1-2시간 이내 검사실의뢰, 냉장보관","월~금,토","오후5시,오전 10시",7일,간기핵 FISH,"D13S25 loci는 염색체 13q14.3에 위치하며 이 위치에서의 gene deletion은 다양한 leukemia, lymphoma 에서 밝혀지고 있다.",,13q14 FISH,예,시행중
L71,외주검사,L7106,17-Hydroxy-Pregnenolone(외주),M: ≤16 F: 폐경전 Mid follicular: ≤18 Surge: ≤23 Mid luteal: ≤19 *소아 M: < 30 days: Not established 1~11 months: ≤ 69 1 year: ≤ 66 2 years: ≤ 64 3 years: ≤ 63 4 years: ≤ 63 5 years: ≤ 62 6 years: ≤ 58 7 years: ≤ 51 8 years: ≤ 44 9 years: ≤ 38 10 years: ≤ 31 11 years: ≤ 26 12 years: ≤ 22 13 years: ≤ 20 14 years: ≤ 20 15 years: ≤ 20 16 years: ≤ 20 17 years: ≤ 19 F: < 30 days: Not established 1~11 months: ≤ 93 1 year: ≤ 100 2 years: ≤ 100 3 years: ≤ 96 4 years: ≤ 89 5 years: ≤ 78 6 years: ≤ 65 7 years: ≤ 53 8 years: ≤ 45 9 years: ≤ 40 10 years: ≤ 35 11 years: ≤ 30 12 years: ≤ 25 13 years: ≤ 21 14 years: ≤ 19 15 years: ≤ 18 16 years: ≤ 18 17 years: ≤ 18,ng/dL,Serum 4 ml,이미지,29.plain 4.0,"1. 겔튜브 채취 검체 부적합 2. 용혈, 지방, 황달 검체 부적합","월,목",검사 시행일 전날 오후 3시,30,Chromatography/mass spectrometry,17-hydroxypregnenolone은 선천성부신과형성증의 희귀한 원인인 3β-hydroxylase 효소 결핍과 17-hydroxylase (P450c17) 효소 결핍의 진단에 유용하다.,녹십자의뢰 외주검사 (☏.578-0131),,예,시행중
L71,외주검사,L7107,17-KS(외주),남 년도별 연령 : 0~7 참고치 : 0.0~3.0 여 년도별 연령 : 0~7 참고치 : 0.0~3.0 남 년도별 연령 : 0~8 참고치 : 0~3.0 여 년도별 연령 : 0~8 참고치 : 0~3.0 남 년도별 연령 : 9~999 참고치 : 10~25 여 년도별 연령 : 9~999 참고치 : 7~20,mg/day,24h UR 20 ml,이미지,30. 24H Urine 20mL,냉장 무방부제,"화,금",검사 시일행 전날 오후 3시,3일,Colorimetry,"부신피질암, 부신과형성, 쿠싱병, 스트레스, 고환암에서 증가하며, Addison 병, 뇌하수체 기능저하증, 갑상 선 기능저하증에서 감소한다. (Cushing 증후군, 부신성기증후군, 기타 다른 steroid biosynthetic defect 가 의심되는 환자의 진단에 이용)",1.위탁처:녹십자의뢰 외주검사 (☏.1566-0131) 2.주관부서:특수화학 검사실 3.수가코드:L7107 4.오더(그룹)코드 5.지역채혈:해당없음 6.도움말 수정이력,17-ketosteroid,예,시행중
L71,외주검사,L7327,17-OHCS(외주),남 년도별 연령 : 0~999 참고치 : 5~23 여 년도별 연령 : 0~999 참고치 : 3~15,mg/day,24h UR 20 ml,이미지,30. 24H Urine 20mL,"냉장, 무방부제","화, 금",검사 시행일 전날 오후 3시,3일,비색법,"cushing syndrom, 이소성 ACTH증후군, 스트레스성 당뇨, 갑상선 기능항진증, 말단비대증, 임신 등에서 증가하며, Addison 병, 급성부신부전증, 속발성 부신부전증 등에서 감소한다.",녹십자의뢰 외주검사(☏.578-0131),17-Hydroxy corticosteroid,예,시행중
L72,분당의뢰검사,L7445,17-OHP,남 년도별 연령 : 0~999 참고치 : 0~7 여 년도별 연령 : 0~999 참고치 : 0~7,ng/mL,Blood Spot,이미지,13. Blood spot,목요일까지 채혈된 샘플에 한해서 금요일 검사. 재검시 1주일 더 소요.,"화,금",검사 시행일 전날 오전 11시,10일,ECA,선천성 대사질환 효소결핍 검사,,,예,시행중
L71,외주검사,L7108,18-OH-Deoxycorticosterone(외주),1-11 months: 5 - 220 1 year: 18 - 155 2-9 years: 6 - 85 10-14 years: 10 - 72 Adults: 9 - 58,ng/dl,Serum: 3.0,이미지,Plain,냉동,"화,금",오후 3:30,1일,LC-MS/MS,"17-alpha-hydroxylase 결핍, Cushing 증후군, 일차성 알도스테론증, 본태성 고혈압에서 plasma renin activity 감소를 동반하여 증가한다.",녹십자의뢰 외주검사 (☏.578-0131),,예,시행중
L26,FISH검사,L2847,"1p36/1q25 & 19q13/19p13, FISH",,,"Heparin BM 5-8 mL, 말초혈액, Tissue도 가능",이미지,,"채혈후 1-2시간 이내 검사실의뢰, 냉장보관","월~금,토","오후5시,오전 10시",7일,간기핵 FISH,"Astrocytomas, oligodendrogliomas, mixed oligoastrocytoma에서 1p36 과 19q13 부위의 결손이 있는 경우 예후가 양호하며, 항암치료에 잘 반응하는 특징을 지닌다.",,TCF-3/PBX1 FISH,예,시행중
L26,FISH검사,L2828,"1q(1q21) gain, FISH",<1,%,"Heparin BM 5-8 mL, 말초혈액, Tissue도 가능",이미지,,"채혈후 1-2시간 이내 검사실의뢰, 냉장보관","월~금,토","오후5시,오전 10시",7일,간기핵 FISH,"CKS1B gene과 CDKN2C gene을 포함하고있는 probe로 MM, ALL, MDS등에서 흔히 관찰되는 염색체 변화인 trisomy 1q를 검색 할 수 있다.",,1q21 gain FISH,예,시행중
L26,FISH검사,L2870,"1q21 gain, FICTION-FISH",<1,%,"Heparin BM 5-8 mL, 말초혈액, Tissue도 가능",이미지,,"채혈후 1-2시간 이내 검사실의뢰, 냉장보관","월~금,토","오후5시,오전 10시",7일,간기핵 FISH 와 FICTION,Multiple myeloma 에 흔히 나타나는 Trisomy 1q 를 FISH 방법과 FICTION 기법을 병행하여 검출한다.,,"Trisomy 1q, plasma cell",예,시행중
L26,FISH검사,L2671,"21q22 deletion, FISH","monosomy <6, trisomy <2",%,"Heparin BM 5-8 mL, 말초혈액, Tissue도 가능",이미지,,"채혈후 1-2시간 이내 검사실의뢰, 냉장보관","월~금,토","오후5시,오전 10시",7일,간기핵 FISH,본 검사는 21q22.13-q22.2에 특이적인 probe를 사용한 FISH로 21번 염색체의 수적 이상을 검출한다.,,21q22 FISH,예,시행중
L26,FISH검사,L2672,"22q11.2 deletion, FISH","monosomy <6, trisomy <2",%,"Heparin BM 5-8 mL, 말초혈액, Tissue도 가능",이미지,,"채혈후 1-2시간 이내 검사실의뢰, 냉장보관","월~금,토","오후5시,오전 10시",일,간기핵 FISH,본 검사는 22q11.2에 특이적인 probe를 사용한 FISH로 22번 염색체의 수적 이상을 검출한다.,,22q11 FISH,예,시행중
L72,분당의뢰검사,L3878,25(OH) vitamin D(HPLC법)(외주),">30ng/ml Sufficiency, 10-20ng/ml Insufficiency, <10 ng/ml Deficiency",ng/mL,Serum 4 ml,이미지,37.차광_SST,"검체 차광, 최소 5mL이상의 whole blood가 채혈되어야 함",월~금,검사 시행일 전날 오전 11시,9일,C-MS/MS를 이용하여 25(OH)D3 및 25(OH)D2를 동시에 측정함,"Vitamin D가 결핍이 되면 소아의 구루병이나 성인의 골다공증, 연골연화증이 주로 발병하는 것으로 알려져 있었으나, 최근에 연구에 의하면 심혈관계질환, 자가면역질환, 암 (breast. colon, prostate cancer 등), 감염 (결핵 등) 등의 발병과도 관련이 높다는 보고가 나오면서 새롭게 각광을 받고 있는 비타민입니다.",[2010.1.13]신규등록,,예,시행중
L71,외주검사,L7330,5-HIAA(외주),남 년도별 연령 : 0~999 참고치 : 1.6~6.0 여 년도별 연령 : 0~999 참고치 : 1.6~6.0,mg/day,"24h UR, HCl",이미지,30. 24H Urine 20mL,"냉장 6N HCl 보존제 첨가 약물(기침약,진통제금지), 과일 금기",목,검사 시행일 전날 오후 3시,4일,HPLC,"Carcinoid 종양, 송과체 종양에서 증가, 신부전, phenylketone 뇨증에서 감소한다.",녹십자의뢰 외주검사(☏.578-0131),5-HIAA,예,시행중
L25,분자유전학,L25432,가족검사 ABCC8 sequencing,Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: ABCC8 [ATP-binding cassette transporter sub-family C member 8; 11p15.1; GeneID 6833] 2. 분자진단검사: 환자에서 시행한 ABCC8 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Familial Hyperinsulinism (FHI), Permanent Neonatal Diabetes Mellitus (PNDM)",[2012.12.17] 신규검사등록,,예,시행중
L25,분자유전학,L25187,"가족검사 Agammaglobulinemia, X-linked, BTK sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 대상유전자: BTK [Bruton agammaglobulinemia tyrosine kinase, Xq21.3-q22, Gene ID 695] 2. 분자진단검사: 상기 유전자의 exons 1-19 의 5'UTR, coding region 과 flanking region 의 염기서열을 검사함. 3. 관련 질환: X-linked agammaglobulinemia 4. 배경, 의의: 환자에서 시행한 X-linked agammaglobulinemia, BTK, sequencing 검사(L25169)에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함.",,?X-연관성 무감마글로불린증,예,시행중
L25,분자유전학,L25198,"가족검사 Alagille syndrome, JAG1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 대상유전자: JAG1 [jagged 1 (Alagille syndrome); 20p12.1-p11.23; Gene ID 182] 2. 분자진단검사: 상기 유전자의 exons 1-26 의 5'UTR, coding region 과 그 flanking region 의 염기서열을 검사함 3. 관련 질환: Alagille 증후군 4. 배경, 의의: 환자에서 시행한 Alagille syndrome, JAG1, sequencing 검사(L25180)에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함.",,,예,시행중
L25,분자유전학,L25200,"가족검사 alpha-Thalassemia, HBA1/HBA2 Sequencing, del/dup",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 대상유전자: 1) HBA1 [hemoglobin, alpha 1; 16p13.3; Gene ID 3039], 2) HBA2 [hemoglobin, alpha 2; 16p13.3; Gene ID 3040] 2. 분자진단검사: 1) 상기 두 유전자의 Deletion/Duplication test: Gene Dosage test: MLPA (Multiplex ligation-dependent probe amplification), 2) 상기 두 유전자의 exon 1-3 의 5'UTR, coding region 과 그 flanking region 의 염기서열을 검사함. 3. 관련 질환: Alpha thalassemia 4. 배경, 의의: 환자에서 시행한 Alpha thalassemia, HBA1/HBA2, Sequencing, Del/Dup 검사(L25184)에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함.",,"anemia, 지중해 빈혈",예,시행중
L25,분자유전학,L25191,"가족검사 Amyotrophic lateral sclerosis, SOD1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 대상유전자: SOD1 [superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult)), 21q22.1, GeneID 6647] 2. 분자진단검사: 상기 유전자의 exons 1-5 의 5'UTR, coding region 과 그 flanking region 의 염기서열을 검사함. 3. 관련 질환: Amyotrophic lateral sclerosis 4. 배경, 의의: 환자에서 시행한 Amyotrophic lateral sclerosis, SOD1, sequencing 검사(L25173)에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함.",,"ALS, superoxide dismutase, 근위축성측삭경화증,루게릭씨병, Lou Gehrigs Disease",예,시행중
L25,분자유전학,L25188,"가족검사 Androgen insensitivity syndorme, AR sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 대상유전자: AR [Androgen receptor, Xq11.2-q12, Gene ID 367] 2. 분자진단검사: 상기 유전자의 exons 1-8 의 5'UTR, coding region 과 그 flanking region 의 염기서열을 검사함. 3. 관련 질환: Androgen insensitivity syndrome 4. 배경, 의의: 환자에서 시행한 Androgen insensitivity syndorme, AR, sequencing 검사(L25170)에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함.",,"안드로젠 수용체, 안드로겐 불감성 증후군, AIS, CAIS",예,시행중
L25,분자유전학,L25333,"가족검사 Aniridia, PAX6 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",화,시행일 전일,10일,"PCR, Sequencing","1. 유전자: PAX6 [paired box 6; 11p13; GeneID: 5080] 2. 분자진단검사: 환자에서 시행한 PAX6 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Aniridia, WAGR syndrome",[2010.11.3] 신설,,예,시행중
L25,분자유전학,L25250,"가족검사 Antithrombin deficiency, SERPINC1 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing","1. 유전자: SERPINC1 [serpin peptidase inhibitor, clade C (antithrombin), member 1; 1q23-q25.1; Gene ID 462] 2. 분자진단검사: proband 에서 시행한 Antithrombin deficiency, SERPINC1, sequencing 검사에서 돌연변이가 발견된 경우, proband 의 가족에서 그 돌연변이의 유무를 검사함. 3. 관련 질환: Antithrombin deficiency, thrombophilia",,,예,시행중
L25,분자유전학,L25435,"가족검사 Arylsulfatase A Deficiency, ARSA sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: ARSA [arylsulfatase A; 22q13.33; GeneID 410] 2. 분자진단검사: 환자에서 시행한 ARSA sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Arylsulfatase A Deficiency (Metachromatic Leukodystrophy)",[2012.12.17] 신규검사등록,Metachromatic Leukodystrophy,예,시행중
L25,분자유전학,L25130,"가족검사 beta-Thalassemia, HBB sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing",". 유전자: HBB . DNA 검사: PCR, sequencing . 관련 질환: beta-thalassemia, hemoglobin variant, hemoglobinopathy . 배경, 의의: 환자에서 시행한 β-thalassemia, HBB sequencing 검사 (L2570)에서 돌연변이가 발견된 경우 환자의 가족에서 그 돌연변이 유무를 검사함.",,,예,시행중
L25,분자유전학,L25141,가족검사 BRCA1/2 sequencing,Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing",". 유전자: BRCA1/2 . DNA 검사: PCR, sequencing . 관련 질환: Breast cancer, Ovarian cancer, BRCA related disorders . 배경, 의의: 환자에서 시행한 BRCA1/2 sequencing 검사 (L25125, L25126)에서 돌연변이가 발견된 경우 환자의 가족에서 그 돌연변이 유무를 검사함.",,,예,시행중
L25,분자유전학,L25134,"가족검사 CADASIL, NOTCH3 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, sequencing",". 유전자: NOTCH3 . DNA 검사: PCR, sequencing . 관련 질환: CADASIL . 배경, 의의: 환자에서 시행한 CADASIL, NOTCH3 sequencing 검사(L25108-L25111)에서 돌연변이가 발견된 경우 환자의 가족에서 그 돌연변이 유무를 검사함.",,,예,시행중
L25,분자유전학,L25396,"가족검사 CAH,CYP21A2 sequencing",Negative,,EDTA blood 6 mL,이미지,,"1일내 실온 보관 및 운송, 유전자검사 동의서",월-토,"월-금(오후5시),토(오후12시30분)",4주(추가검사 필요시 6주),"PCR, Sequencing","1. 유전자: CYP21A2 [cytochrome P450, family 21, subfamily A, polypeptide 2; 6p21.; Gene ID 1589] 2. 분자진단검사: 환자에서 시행한 CYP21A2 sequencing 검사에서 돌연변이가 발견된 경우, 환자의 가족에서 그 돌연변이 유무를 검사함. 3. 관련 질환: Congenital adrenal hyperplasia (21-hydroxylase deficiency)",[2011.11.16]신규등록,,예,시행중
