,검사명,검체검사결과,검체
2639,TSH,갑상선종양검사,Blood(SST)
2664,TSH-Receptor-Ab,Hormone,B(SST)
2665,turbidity,요검사,"Urine,random"
2691,turbidity,응급검사,"Urine,random"
2693,Turbidity,응급검사,"Urine,random"
2694,UA,일반화학1,Blood(SST)
2733,"UA-E,응급",응급화학검사,Blood(SST)
2734,Unk.bacteria,요검사,"Urine,random"
2760,Unk.bacteria,응급검사,"Urine,random"
2763,"Urob,U-E,응급",응급검사,"Urine,random"
2764,"Urobil,U-E,응급",응급검사,"Urine,random"
2766,Urobilinogen,요검사,"Urine,random"
2792,VitaminB12,"감염,종양,빈혈및기타",B(SST)
2793,WBC,요검사,"Urine,random"
2819,WBC,응급검사,"Urine,random"
2822,WBC,일반혈액,Blood(EDTA)
2863,"WBC-E,응급",응급검사,Blood(EDTA)
2866,"WBC-E,응급",일반혈액,Blood(EDTA)
2867,"WBCstic-E,응급",응급검사,"Urine,random"
2870,WBCstick,요검사,"Urine,random"
